City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Jalu,LY,66.24,overcast clouds,29.0331,21.5482,صاحبة الفخامة
1,Atuona,PF,79.9,few clouds,-9.8,-139.0333,Villa Enata
4,Kalabo,ZM,67.82,light rain,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
5,Vila Franca Do Campo,PT,59.41,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
6,Port Alfred,ZA,64.6,scattered clouds,-33.5906,26.891,The Halyards Hotel
7,Ushuaia,AR,51.46,broken clouds,-54.8,-68.3,Albatross Hotel
10,Neiafu,TO,83.08,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
13,Lorengau,PG,81.81,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
15,Cidreira,BR,67.5,overcast clouds,-30.1811,-50.2056,Hotel Castelo
23,Faya,SA,66.72,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
24,Bredasdorp,ZA,64.6,scattered clouds,-33.5906,26.891,The Halyards Hotel
26,Mount Gambier,AU,53.51,overcast clouds,-37.8333,140.7667,The Commodore
27,Busselton,AU,53.51,overcast clouds,-37.8333,140.7667,The Commodore
28,Kefalos,GR,64.62,few clouds,36.7453,26.9589,Kokalakis Hotel
29,Fonte Boa,BR,67.5,overcast clouds,-30.1811,-50.2056,Hotel Castelo
30,Geraldton,AU,53.51,overcast clouds,-37.8333,140.7667,The Commodore
32,Cayenne,GF,84.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
34,Albany,AU,53.51,overcast clouds,-37.8333,140.7667,The Commodore
36,Zhob,PK,71.46,broken clouds,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
38,Carnarvon,AU,53.51,overcast clouds,-37.8333,140.7667,The Commodore
39,Tsiroanomandidy,MG,66.72,clear sky,-18.7667,46.0333,Hotel Ravinala
46,Nabire,ID,75.38,moderate rain,-3.3667,135.4833,Hotel Nusantara I
47,Mataura,PF,79.9,few clouds,-9.8,-139.0333,Villa Enata
50,Tabou,CI,76.93,overcast clouds,4.423,-7.3528,hotêl doufoulougou
53,Cape Town,ZA,64.6,scattered clouds,-33.5906,26.891,The Halyards Hotel
55,Taolanaro,MG,66.72,clear sky,-18.7667,46.0333,Hotel Ravinala
58,Mareeba,AU,53.51,overcast clouds,-37.8333,140.7667,The Commodore
