City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jalu,LY,29.0331,21.5482,66.24,58,97,16.4,overcast clouds
1,Atuona,PF,-9.8,-139.0333,79.9,77,12,17.29,few clouds
2,Tiksi,RU,71.6872,128.8694,-7.92,99,77,2.04,broken clouds
3,Bluff,NZ,-46.6,168.3333,41.81,83,7,8.25,clear sky
4,Kalabo,ZM,-14.97,22.6814,67.82,90,86,4.74,light rain
5,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,79,63,11.43,broken clouds
6,Port Alfred,ZA,-33.5906,26.891,64.6,82,26,7.72,scattered clouds
7,Ushuaia,AR,-54.8,-68.3,51.46,66,75,0.0,broken clouds
8,Tasiilaq,GL,65.6145,-37.6368,33.31,98,100,11.95,light snow
9,Lasa,IT,46.6166,10.7002,49.08,82,15,3.96,few clouds
10,Neiafu,TO,-18.65,-173.9833,83.08,83,75,5.75,broken clouds
11,Te Anau,NZ,-46.6,168.3333,41.81,83,7,8.25,clear sky
12,Yar-Sale,RU,71.6872,128.8694,-7.92,99,77,2.04,broken clouds
13,Lorengau,PG,-2.0226,147.2712,81.81,80,42,7.38,scattered clouds
14,Henties Bay,NA,-22.116,14.2845,62.44,77,1,6.91,clear sky
15,Cidreira,BR,-30.1811,-50.2056,67.5,69,100,10.36,overcast clouds
16,Amderma,RU,71.6872,128.8694,-7.92,99,77,2.04,broken clouds
17,Yellowknife,CA,62.456,-114.3525,18.12,45,20,10.36,few clouds
18,Severo-Kurilsk,RU,71.6872,128.8694,-7.92,99,77,2.04,broken clouds
19,Illoqqortoormiut,GL,65.6145,-37.6368,33.31,98,100,11.95,light snow
20,Bethel,US,41.3712,-73.414,49.53,45,97,1.99,overcast clouds
21,Tongren,IT,46.6166,10.7002,49.08,82,15,3.96,few clouds
22,Vardo,NO,70.3705,31.1107,35.58,93,75,11.5,light intensity drizzle
23,Faya,SA,18.3851,42.4509,66.72,37,58,7.74,broken clouds
24,Bredasdorp,ZA,-33.5906,26.891,64.6,82,26,7.72,scattered clouds
25,Kurchum,KZ,48.5722,83.6542,48.99,31,45,4.65,scattered clouds
26,Mount Gambier,AU,-37.8333,140.7667,53.51,94,100,9.22,overcast clouds
27,Busselton,AU,-37.8333,140.7667,53.51,94,100,9.22,overcast clouds
28,Kefalos,GR,36.7453,26.9589,64.62,59,20,20.71,few clouds
29,Fonte Boa,BR,-30.1811,-50.2056,67.5,69,100,10.36,overcast clouds
30,Geraldton,AU,-37.8333,140.7667,53.51,94,100,9.22,overcast clouds
31,Hilo,US,41.3712,-73.414,49.53,45,97,1.99,overcast clouds
32,Cayenne,GF,4.9333,-52.3333,84.24,1,75,14.97,broken clouds
33,Nizhneyansk,RU,71.6872,128.8694,-7.92,99,77,2.04,broken clouds
34,Albany,AU,-37.8333,140.7667,53.51,94,100,9.22,overcast clouds
35,Makakilo City,US,41.3712,-73.414,49.53,45,97,1.99,overcast clouds
36,Zhob,PK,31.3411,69.4481,71.46,23,84,0.38,broken clouds
37,Kabalo,CD,-6.05,26.9167,70.86,93,74,2.98,broken clouds
38,Carnarvon,AU,-37.8333,140.7667,53.51,94,100,9.22,overcast clouds
39,Tsiroanomandidy,MG,-18.7667,46.0333,66.72,76,4,2.91,clear sky
40,Tuktoyaktuk,CA,62.456,-114.3525,18.12,45,20,10.36,few clouds
41,Nanortalik,GL,65.6145,-37.6368,33.31,98,100,11.95,light snow
42,Ostrovnoy,RU,71.6872,128.8694,-7.92,99,77,2.04,broken clouds
43,Chokurdakh,RU,71.6872,128.8694,-7.92,99,77,2.04,broken clouds
44,Beyneu,KZ,48.5722,83.6542,48.99,31,45,4.65,scattered clouds
45,Khatanga,RU,71.6872,128.8694,-7.92,99,77,2.04,broken clouds
46,Nabire,ID,-3.3667,135.4833,75.38,91,93,2.86,moderate rain
47,Mataura,PF,-9.8,-139.0333,79.9,77,12,17.29,few clouds
48,Champerico,GT,14.3,-91.9167,97.34,64,72,14.2,broken clouds
49,Clyde River,CA,62.456,-114.3525,18.12,45,20,10.36,few clouds
50,Tabou,CI,4.423,-7.3528,76.93,84,100,2.19,overcast clouds
51,Half Moon Bay,US,41.3712,-73.414,49.53,45,97,1.99,overcast clouds
52,Jamestown,US,42.097,-79.2353,42.53,40,40,8.05,scattered clouds
53,Cape Town,ZA,-33.5906,26.891,64.6,82,26,7.72,scattered clouds
54,Egvekinot,RU,71.6872,128.8694,-7.92,99,77,2.04,broken clouds
55,Taolanaro,MG,-18.7667,46.0333,66.72,76,4,2.91,clear sky
56,Batagay,RU,71.6872,128.8694,-7.92,99,77,2.04,broken clouds
57,Kapaa,US,41.3712,-73.414,49.53,45,97,1.99,overcast clouds
58,Mareeba,AU,-37.8333,140.7667,53.51,94,100,9.22,overcast clouds
59,Karratha,AU,-37.8333,140.7667,53.51,94,100,9.22,overcast clouds
60,Hobart,AU,-37.8333,140.7667,53.51,94,100,9.22,overcast clouds
61,Trincomalee,LK,8.5711,81.2335,79.54,85,20,9.55,few clouds
62,Vila Do Maio,CV,15.1333,-23.2167,72.39,81,0,18.14,clear sky
63,Umm Kaddadah,SD,13.6017,26.6876,87.35,16,21,9.69,few clouds
64,Meadow Lake,CA,62.456,-114.3525,18.12,45,20,10.36,few clouds
65,Kavaratti,IN,10.5669,72.642,83.34,74,59,4.88,broken clouds
66,Turan,RU,71.6872,128.8694,-7.92,99,77,2.04,broken clouds
67,Teseney,ER,15.11,36.6575,91.63,28,57,7.23,broken clouds
68,Barbar,SD,13.6017,26.6876,87.35,16,21,9.69,few clouds
69,Brae,GB,60.3964,-1.353,47.32,81,100,15.75,overcast clouds
70,Kavieng,PG,-2.0226,147.2712,81.81,80,42,7.38,scattered clouds
71,Meulaboh,ID,-3.3667,135.4833,75.38,91,93,2.86,moderate rain
72,Georgetown,US,42.097,-79.2353,42.53,40,40,8.05,scattered clouds
73,Imbituba,BR,-30.1811,-50.2056,67.5,69,100,10.36,overcast clouds
74,Saskylakh,RU,71.6872,128.8694,-7.92,99,77,2.04,broken clouds
75,Camaqua,BR,-30.1811,-50.2056,67.5,69,100,10.36,overcast clouds
76,Nikolskoye,RU,71.6872,128.8694,-7.92,99,77,2.04,broken clouds
77,Hermanus,ZA,-33.5906,26.891,64.6,82,26,7.72,scattered clouds
78,Tilichiki,RU,71.6872,128.8694,-7.92,99,77,2.04,broken clouds
79,Caraballeda,VE,10.6112,-66.8522,84.27,70,75,3.44,broken clouds
80,Dikson,RU,71.6872,128.8694,-7.92,99,77,2.04,broken clouds
81,Leningradskiy,RU,71.6872,128.8694,-7.92,99,77,2.04,broken clouds
82,Vaini,TO,-18.65,-173.9833,83.08,83,75,5.75,broken clouds
83,Fairmont,US,41.3712,-73.414,49.53,45,97,1.99,overcast clouds
84,San Quintin,MX,30.4833,-115.95,67.59,60,6,20.27,clear sky
85,Labuhan,ID,-3.3667,135.4833,75.38,91,93,2.86,moderate rain
86,Banjar,ID,-3.3667,135.4833,75.38,91,93,2.86,moderate rain
87,Kathmandu,NP,27.7167,85.3167,61.02,51,20,2.3,few clouds
88,Skalistyy,RU,71.6872,128.8694,-7.92,99,77,2.04,broken clouds
89,San Patricio,MX,30.4833,-115.95,67.59,60,6,20.27,clear sky
90,Katsuura,JP,35.1333,140.3,59.47,73,97,5.79,overcast clouds
91,Majene,ID,-3.3667,135.4833,75.38,91,93,2.86,moderate rain
92,Punta Arenas,CL,-53.15,-70.9167,48.31,87,75,9.22,light rain
93,Almaty,KZ,48.5722,83.6542,48.99,31,45,4.65,scattered clouds
94,Hithadhoo,MV,-0.6,73.0833,82.53,75,39,6.17,scattered clouds
95,Laguna,BR,-30.1811,-50.2056,67.5,69,100,10.36,overcast clouds
96,Nemuro,JP,35.1333,140.3,59.47,73,97,5.79,overcast clouds
97,Diffa,NE,13.3154,12.6113,88.43,13,82,2.68,broken clouds
98,Sola,VU,-13.8833,167.55,81.82,73,87,5.64,overcast clouds
99,Broome,AU,-37.8333,140.7667,53.51,94,100,9.22,overcast clouds
100,Kenora,CA,62.456,-114.3525,18.12,45,20,10.36,few clouds
101,Ribeira Grande,PT,37.7167,-25.4333,59.41,79,63,11.43,broken clouds
102,Menongue,AO,-14.6585,17.691,62.87,95,19,3.74,few clouds
103,Camacha,PT,37.7167,-25.4333,59.41,79,63,11.43,broken clouds
104,Nokaneng,BW,-19.6667,22.2667,69.51,77,37,2.21,moderate rain
105,Uyuni,BO,-20.4597,-66.825,56.43,8,1,17.56,clear sky
106,Itoman,JP,35.1333,140.3,59.47,73,97,5.79,overcast clouds
107,New Norfolk,AU,-37.8333,140.7667,53.51,94,100,9.22,overcast clouds
108,Touros,BR,-30.1811,-50.2056,67.5,69,100,10.36,overcast clouds
109,Tumannyy,RU,71.6872,128.8694,-7.92,99,77,2.04,broken clouds
110,Gazojak,TM,41.1875,61.4036,60.51,44,100,16.8,overcast clouds
111,Westport,US,41.1415,-73.3579,51.75,36,99,13.0,overcast clouds
112,Vanimo,PG,-2.0226,147.2712,81.81,80,42,7.38,scattered clouds
113,Butaritari,KI,3.0707,172.7902,81.52,74,12,12.35,few clouds
114,Danville,US,41.3712,-73.414,49.53,45,97,1.99,overcast clouds
115,Jumla,NP,27.7167,85.3167,61.02,51,20,2.3,few clouds
116,Ponta Do Sol,CV,15.1333,-23.2167,72.39,81,0,18.14,clear sky
117,Finschhafen,PG,-2.0226,147.2712,81.81,80,42,7.38,scattered clouds
118,Pokrovsk,RU,71.6872,128.8694,-7.92,99,77,2.04,broken clouds
119,Kloulklubed,PW,7.0419,134.2556,73.9,72,98,1.79,overcast clouds
120,Isangel,VU,-13.8833,167.55,81.82,73,87,5.64,overcast clouds
121,Luanda,AO,-14.6585,17.691,62.87,95,19,3.74,few clouds
